A9 reads 0052.  Therefore, state is: 0000
A8 reads 0009.  Therefore, state is: 0000
A7 reads 0332.  Therefore, state is: 0000
A6 reads 0358.  Therefore, state is: 0000
A5 reads 0466.  Therefore, state is: 0000
A4 reads 0474.  Therefore, state is: 0000
A3 reads 0486.  Therefore, state is: 0000
A2 reads 0594.  Therefore, state is: 0000
A1 reads 0620.  Therefore, state is: 0x0001
A0 reads 0597.  Therefore, state is: 0x0002
[MAIN] State is:  0x2, time is:    1
A9 reads 0035.  Therefore, state is: 0000
A8 reads 0008.  Therefore, state is: 0000
A7 reads 0288.  Therefore, state is: 0000
A6 reads 0385.  Therefore, state is: 0000
A5 reads 0664.  Therefore, state is: 0x0001
A4 reads 0626.  Therefore, state is: 0x0003
A3 reads 0623.  Therefore, state is: 0x0007
A2 reads 0965.  Therefore, state is: 0x000f
A1 reads 0994.  Therefore, state is: 0x001f
A0 reads 0909.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:    2
A9 reads 0039.  Therefore, state is: 0000
A8 reads 0010.  Therefore, state is: 0000
A7 reads 0237.  Therefore, state is: 0000
A6 reads 0305.  Therefore, state is: 0000
A5 reads 0584.  Therefore, state is: 0000
A4 reads 0590.  Therefore, state is: 0000
A3 reads 0590.  Therefore, state is: 0000
A2 reads 0960.  Therefore, state is: 0x0001
A1 reads 1008.  Therefore, state is: 0x0003
A0 reads 0928.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    3
A9 reads 0039.  Therefore, state is: 0000
A8 reads 0012.  Therefore, state is: 0000
A7 reads 0208.  Therefore, state is: 0000
A6 reads 0276.  Therefore, state is: 0000
A5 reads 0621.  Therefore, state is: 0x0001
A4 reads 0608.  Therefore, state is: 0x0003
A3 reads 0594.  Therefore, state is: 0x0006
A2 reads 0962.  Therefore, state is: 0x000d
A1 reads 1023.  Therefore, state is: 0x001b
A0 reads 0952.  Therefore, state is: 0x0037
[MAIN] State is: 0x37, time is:    4
A9 reads 0038.  Therefore, state is: 0000
A8 reads 0009.  Therefore, state is: 0000
A7 reads 0180.  Therefore, state is: 0000
A6 reads 0249.  Therefore, state is: 0000
A5 reads 0588.  Therefore, state is: 0000
A4 reads 0581.  Therefore, state is: 0000
A3 reads 0570.  Therefore, state is: 0000
A2 reads 0956.  Therefore, state is: 0x0001
A1 reads 0997.  Therefore, state is: 0x0003
A0 reads 0927.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    5
A9 reads 0039.  Therefore, state is: 0000
A8 reads 0012.  Therefore, state is: 0000
A7 reads 0154.  Therefore, state is: 0000
A6 reads 0215.  Therefore, state is: 0000
A5 reads 0526.  Therefore, state is: 0000
A4 reads 0541.  Therefore, state is: 0000
A3 reads 0540.  Therefore, state is: 0000
A2 reads 0952.  Therefore, state is: 0x0001
A1 reads 1015.  Therefore, state is: 0x0003
A0 reads 0953.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    6
A9 reads 0037.  Therefore, state is: 0000
A8 reads 0013.  Therefore, state is: 0000
A7 reads 0142.  Therefore, state is: 0000
A6 reads 0198.  Therefore, state is: 0000
A5 reads 0552.  Therefore, state is: 0000
A4 reads 0550.  Therefore, state is: 0000
A3 reads 0540.  Therefore, state is: 0000
A2 reads 0951.  Therefore, state is: 0x0001
A1 reads 1023.  Therefore, state is: 0x0003
A0 reads 0968.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    7
A9 reads 0038.  Therefore, state is: 0000
A8 reads 0006.  Therefore, state is: 0000
A7 reads 0130.  Therefore, state is: 0000
A6 reads 0187.  Therefore, state is: 0000
A5 reads 0528.  Therefore, state is: 0000
A4 reads 0522.  Therefore, state is: 0000
A3 reads 0515.  Therefore, state is: 0000
A2 reads 0943.  Therefore, state is: 0x0001
A1 reads 1003.  Therefore, state is: 0x0003
A0 reads 0942.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    8
A9 reads 0035.  Therefore, state is: 0000
A8 reads 0009.  Therefore, state is: 0000
A7 reads 0114.  Therefore, state is: 0000
A6 reads 0179.  Therefore, state is: 0000
A5 reads 0467.  Therefore, state is: 0000
A4 reads 0478.  Therefore, state is: 0000
A3 reads 0481.  Therefore, state is: 0000
A2 reads 0947.  Therefore, state is: 0x0001
A1 reads 1013.  Therefore, state is: 0x0003
A0 reads 0955.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    9
A9 reads 0040.  Therefore, state is: 0000
A6 reads 0176.  Therefore, state is: 0000
A5 reads 0497.  Therefore, state is: 0000
A8 reads 0011.  Therefore, state is: 0000
A7 reads 0110.  Therefore, state is: 0000
A4 reads 0494.  Therefore, state is: 0000
A3 reads 0482.  Therefore, state is: 0000
A2 reads 0940.  Therefore, state is: 0x0001
A1 reads 1023.  Therefore, state is: 0x0003
A0 reads 0979.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   10
A9 reads 0036.  Therefore, state is: 0000
