LOOPING
A9 reads 0209.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0000.  Therefore, state is: 0000
A6 reads 0000.  Therefore, state is: 0000
A5 reads 0000.  Therefore, state is: 0000
A4 reads 0116.  Therefore, state is: 0000
A3 reads 0190.  Therefore, state is: 0000
A2 reads 0082.  Therefore, state is: 0000
A1 reads 0009.  Therefore, state is: 0000
A0 reads 0061.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  477
LOOPING
A9 reads 0252.  Therefore, state is: 0000
A8 reads 0040.  Therefore, state is: 0000
A7 reads 0038.  Therefore, state is: 0000
A6 reads 0038.  Therefore, state is: 0000
A5 reads 0037.  Therefore, state is: 0000
A4 reads 0153.  Therefore, state is: 0000
A3 reads 0223.  Therefore, state is: 0000
A2 reads 0134.  Therefore, state is: 0000
A1 reads 0052.  Therefore, state is: 0000
A0 reads 0119.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  478
LOOPING
A9 reads 0351.  Therefore, state is: 0000
A8 reads 0151.  Therefore, state is: 0000
A7 reads 0149.  Therefore, state is: 0000
A6 reads 0150.  Therefore, state is: 0000
A5 reads 0149.  Therefore, state is: 0000
A4 reads 0224.  Therefore, state is: 0000
A3 reads 0279.  Therefore, state is: 0000
A2 reads 0249.  Therefore, state is: 0000
A1 reads 0154.  Therefore, state is: 0000
A0 reads 0229.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  479
LOOPING
A9 reads 0338.  Therefore, state is: 0000
A8 reads 0140.  Therefore, state is: 0000
A7 reads 0135.  Therefore, state is: 0000
A6 reads 0134.  Therefore, state is: 0000
A5 reads 0132.  Therefore, state is: 0000
A4 reads 0208.  Therefore, state is: 0000
A3 reads 0262.  Therefore, state is: 0000
A2 reads 0241.  Therefore, state is: 0000
A1 reads 0143.  Therefore, state is: 0000
A0 reads 0224.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  480
LOOPING
A9 reads 0579.  Therefore, state is: 0000
A8 reads 0452.  Therefore, state is: 0000
A7 reads 0451.  Therefore, state is: 0000
A6 reads 0451.  Therefore, state is: 0000
A5 reads 0450.  Therefore, state is: 0000
A4 reads 0456.  Therefore, state is: 0000
A3 reads 0474.  Therefore, state is: 0000
A2 reads 0542.  Therefore, state is: 0000
A1 reads 0459.  Therefore, state is: 0000
A0 reads 0535.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  481
LOOPING
A9 reads 0857.  Therefore, state is: 0x0001
A8 reads 0855.  Therefore, state is: 0x0003
A7 reads 0851.  Therefore, state is: 0x0007
A6 reads 0845.  Therefore, state is: 0x000f
A5 reads 0841.  Therefore, state is: 0x001f
A4 reads 0781.  Therefore, state is: 0x003f
A3 reads 0748.  Therefore, state is: 0x007f
A2 reads 0897.  Therefore, state is: 0x00ff
A1 reads 0820.  Therefore, state is: 0x01ff
A0 reads 0939.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:  482
LOOPING
A9 reads 1001.  Therefore, state is: 0x0001
A8 reads 1005.  Therefore, state is: 0x0003
A7 reads 1006.  Therefore, state is: 0x0007
A6 reads 1005.  Therefore, state is: 0x000f
A5 reads 1006.  Therefore, state is: 0x001f
A4 reads 0887.  Therefore, state is: 0x003f
A3 reads 0818.  Therefore, state is: 0x007f
A2 reads 0915.  Therefore, state is: 0x00ff
A1 reads 0992.  Therefore, state is: 0x01ff
A0 reads 0859.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:  483
LOOPING
A9 reads 0409.  Therefore, state is: 0000
A8 reads 0410.  Therefore, state is: 0000
A7 reads 0410.  Therefore, state is: 0000
A6 reads 0410.  Therefore, state is: 0000
A5 reads 0409.  Therefore, state is: 0000
A4 reads 0467.  Therefore, state is: 0000
A3 reads 0470.  Therefore, state is: 0000
A2 reads 0431.  Therefore, state is: 0000
A1 reads 0410.  Therefore, state is: 0000
A0 reads 0304.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  484
LOOPING
A9 reads 0720.  Therefore, state is: 0x0001
A8 reads 0721.  Therefore, state is: 0x0003
A7 reads 0722.  Therefore, state is: 0x0007
A6 reads 0722.  Therefore, state is: 0x000f
A5 reads 0722.  Therefore, state is: 0x001f
A4 reads 0649.  Therefore, state is: 0x003f
A3 reads 0614.  Therefore, state is: 0x007f
A2 reads 0649.  Therefore, state is: 0x00ff
A1 reads 0710.  Therefore, state is: 0x01ff
A0 reads 0506.  Therefore, state is: 0x03fe
[MAIN] State is: 0x3fe, time is:  485
LOOPING
A9 reads 0787.  Therefore, state is: 0x0001
A8 reads 0787.  Therefore, state is: 0x0003
A7 reads 0786.  Therefore, state is: 0x0007
A6 reads 0784.  Therefore, state is: 0x000f
A5 reads 0782.  Therefore, state is: 0x001f
A4 reads 0708.  Therefore, state is: 0x003f
A3 reads 0661.  Therefore, state is: 0x007f
A2 reads 0710.  Therefore, state is: 0x00ff
A1 reads 0764.  Therefore, state is: 0x01ff
A0 reads 0591.  Therefore, state is: 0x03fe
[MAIN] State is: 0x3fe, time is:  486
LOOPING
A9 reads 0870.  Therefore, state is: 0x0001
A8 reads 0872.  Therefore, state is: 0x0003
A7 reads 0872.  Therefore, state is: 0x0007
A6 reads 0871.  Therefore, state is: 0x000f
A5 reads 0871.  Therefore, state is: 0x001f
A4 reads 0788.  Therefore, state is: 0x003f
A3 reads 0730.  Therefore, state is: 0x007f
A2 reads 0797.  Therefore, state is: 0x00ff
A1 reads 0857.  Therefore, state is: 0x01ff
A0 reads 0701.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:  487
LOOPING
A9 reads 0983.  Therefore, state is: 0x0001
A8 reads 0985.  Therefore, state is: 0x0003
A7 reads 0984.  Therefore, state is: 0x0007
A6 reads 0981.  Therefore, state is: 0x000f
A5 reads 0980.  Therefore, state is: 0x001f
A4 reads 0882.  Therefore, state is: 0x003f
A3 reads 0811.  Therefore, state is: 0x007f
A2 reads 0885.  Therefore, state is: 0x00ff
A1 reads 0960.  Therefore, state is: 0x01ff
A0 reads 0823.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:  488
LOOPING
A9 reads 0980.  Therefore, state is: 0x0001
A8 reads 0981.  Therefore, state is: 0x0003
A7 reads 0981.  Therefore, state is: 0x0007
A6 reads 0981.  Therefore, state is: 0x000f
A5 reads 0978.  Therefore, state is: 0x001f
A4 reads 0900.  Therefore, state is: 0x003f
A3 reads 0834.  Therefore, state is: 0x007f
A2 reads 0937.  Therefore, state is: 0x00ff
A1 reads 0965.  Therefore, state is: 0x01ff
A0 reads 0907.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:  489
LOOPING
A9 reads 0879.  Therefore, state is: 0x0001
A8 reads 0896.  Therefore, state is: 0x0003
