LOOPING
A9 reads 0573.  Therefore, state is: 0000
A8 reads 0551.  Therefore, state is: 0000
A7 reads 0282.  Therefore, state is: 0000
A6 reads 0420.  Therefore, state is: 0000
A5 reads 0704.  Therefore, state is: 0x0001
A4 reads 0646.  Therefore, state is: 0x0003
A3 reads 0570.  Therefore, state is: 0x0006
A2 reads 0396.  Therefore, state is: 0x000c
A1 reads 0320.  Therefore, state is: 0x0018
A0 reads 0315.  Therefore, state is: 0x0030
[MAIN] State is: 0x30, time is:    1
LOOPING
A9 reads 0913.  Therefore, state is: 0x0001
A8 reads 1018.  Therefore, state is: 0x0003
A7 reads 0742.  Therefore, state is: 0x0007
A6 reads 0677.  Therefore, state is: 0x000f
A5 reads 0873.  Therefore, state is: 0x001f
A4 reads 0851.  Therefore, state is: 0x003f
A3 reads 0807.  Therefore, state is: 0x007f
A2 reads 0913.  Therefore, state is: 0x00ff
A1 reads 0821.  Therefore, state is: 0x01ff
A0 reads 0823.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    2
LOOPING
A9 reads 0903.  Therefore, state is: 0x0001
A8 reads 1015.  Therefore, state is: 0x0003
A7 reads 0756.  Therefore, state is: 0x0007
A6 reads 0708.  Therefore, state is: 0x000f
A5 reads 0931.  Therefore, state is: 0x001f
A4 reads 0888.  Therefore, state is: 0x003f
A3 reads 0826.  Therefore, state is: 0x007f
A2 reads 0924.  Therefore, state is: 0x00ff
A1 reads 0811.  Therefore, state is: 0x01ff
A0 reads 0827.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    3
LOOPING
A5 reads 0881.  Therefore, state is: 0x001f
A4 reads 0843.  Therefore, state is: 0x003f
A7 reads 0733.  Therefore, state is: 0x0007
A6 reads 0681.  Therefore, state is: 0x000f
A3 reads 0789.  Therefore, state is: 0x007f
A2 reads 0889.  Therefore, state is: 0x00ff
A1 reads 0805.  Therefore, state is: 0x01ff
A0 reads 0762.  Therefore, state is: 0x03ff
A9 reads 0900.  Therefore, state is: 0x0001
A8 reads 1017.  Therefore, state is: 0x0003
[MAIN] State is: 0x3ff, time is:    4
LOOPING
A9 reads 0909.  Therefore, state is: 0x0001
A8 reads 1018.  Therefore, state is: 0x0003
A7 reads 0726.  Therefore, state is: 0x0007
A6 reads 0669.  Therefore, state is: 0x000f
A5 reads 0863.  Therefore, state is: 0x001f
A4 reads 0834.  Therefore, state is: 0x003f
A3 reads 0777.  Therefore, state is: 0x007f
A2 reads 0874.  Therefore, state is: 0x00ff
A1 reads 0808.  Therefore, state is: 0x01ff
A0 reads 0760.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    5
LOOPING
A9 reads 0904.  Therefore, state is: 0x0001
A8 reads 1018.  Therefore, state is: 0x0003
A7 reads 0754.  Therefore, state is: 0x0007
A6 reads 0685.  Therefore, state is: 0x000f
A5 reads 0927.  Therefore, state is: 0x001f
A4 reads 0874.  Therefore, state is: 0x003f
A3 reads 0805.  Therefore, state is: 0x007f
A2 reads 0880.  Therefore, state is: 0x00ff
A1 reads 0810.  Therefore, state is: 0x01ff
A0 reads 0767.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    6
LOOPING
A9 reads 0910.  Therefore, state is: 0x0001
A8 reads 1017.  Therefore, state is: 0x0003
A7 reads 0768.  Therefore, state is: 0x0007
A6 reads 0694.  Therefore, state is: 0x000f
A5 reads 0911.  Therefore, state is: 0x001f
A4 reads 0862.  Therefore, state is: 0x003f
A3 reads 0795.  Therefore, state is: 0x007f
A2 reads 0840.  Therefore, state is: 0x00ff
A1 reads 0767.  Therefore, state is: 0x01ff
A0 reads 0714.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    7
LOOPING
A9 reads 0921.  Therefore, state is: 0x0001
A8 reads 1016.  Therefore, state is: 0x0003
A7 reads 0779.  Therefore, state is: 0x0007
A6 reads 0704.  Therefore, state is: 0x000f
A5 reads 0913.  Therefore, state is: 0x001f
A4 reads 0867.  Therefore, state is: 0x003f
A3 reads 0802.  Therefore, state is: 0x007f
A2 reads 0848.  Therefore, state is: 0x00ff
A1 reads 0787.  Therefore, state is: 0x01ff
A0 reads 0739.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    8
LOOPING
A9 reads 0903.  Therefore, state is: 0x0001
A8 reads 1016.  Therefore, state is: 0x0003
A7 reads 0806.  Therefore, state is: 0x0007
A6 reads 0725.  Therefore, state is: 0x000f
