LOOPING
A9 reads 0729.  Therefore, state is: 0x0001
A8 reads 0791.  Therefore, state is: 0x0003
A7 reads 0763.  Therefore, state is: 0x0007
A6 reads 0603.  Therefore, state is: 0x000f
A5 reads 0416.  Therefore, state is: 0x001e
A4 reads 0442.  Therefore, state is: 0x003c
A3 reads 0488.  Therefore, state is: 0x0078
A2 reads 0640.  Therefore, state is: 0x00f1
A1 reads 0651.  Therefore, state is: 0x01e3
A0 reads 0638.  Therefore, state is: 0x03c7
[MAIN] State is: 0x3c7, time is:    2
LOOPING
A9 reads 0809.  Therefore, state is: 0x0001
A8 reads 1013.  Therefore, state is: 0x0003
A7 reads 1022.  Therefore, state is: 0x0007
A6 reads 0866.  Therefore, state is: 0x000f
A5 reads 0567.  Therefore, state is: 0x001e
A4 reads 0547.  Therefore, state is: 0x003c
A3 reads 0568.  Therefore, state is: 0x0078
A2 reads 0926.  Therefore, state is: 0x00f1
A1 reads 1005.  Therefore, state is: 0x01e3
A0 reads 0999.  Therefore, state is: 0x03c7
[MAIN] State is: 0x3c7, time is:    3
LOOPING
A9 reads 0761.  Therefore, state is: 0x0001
A8 reads 1019.  Therefore, state is: 0x0003
A7 reads 1023.  Therefore, state is: 0x0007
A6 reads 0871.  Therefore, state is: 0x000f
A5 reads 0476.  Therefore, state is: 0x001e
A4 reads 0467.  Therefore, state is: 0x003c
A3 reads 0489.  Therefore, state is: 0x0078
A2 reads 0876.  Therefore, state is: 0x00f1
A1 reads 1002.  Therefore, state is: 0x01e3
A0 reads 0976.  Therefore, state is: 0x03c7
[MAIN] State is: 0x3c7, time is:    4
LOOPING
A9 reads 0813.  Therefore, state is: 0x0001
A8 reads 1019.  Therefore, state is: 0x0003
A7 reads 1023.  Therefore, state is: 0x0007
A6 reads 0897.  Therefore, state is: 0x000f
A5 reads 0599.  Therefore, state is: 0x001e
A4 reads 0564.  Therefore, state is: 0x003c
A3 reads 0557.  Therefore, state is: 0x0078
A2 reads 0951.  Therefore, state is: 0x00f1
A1 reads 1012.  Therefore, state is: 0x01e3
A0 reads 1001.  Therefore, state is: 0x03c7
[MAIN] State is: 0x3c7, time is:    5
LOOPING
A9 reads 0748.  Therefore, state is: 0x0001
A8 reads 1019.  Therefore, state is: 0x0003
A7 reads 1023.  Therefore, state is: 0x0007
