LOOPING
A9 reads 0686.  Therefore, state is: 0x0001
A8 reads 0799.  Therefore, state is: 0x0003
A7 reads 0770.  Therefore, state is: 0x0007
A6 reads 0631.  Therefore, state is: 0x000f
A5 reads 0680.  Therefore, state is: 0x001f
A4 reads 0684.  Therefore, state is: 0x003f
A3 reads 0665.  Therefore, state is: 0x007f
A2 reads 0729.  Therefore, state is: 0x00ff
A1 reads 0750.  Therefore, state is: 0x01ff
A0 reads 0610.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    4
LOOPING
A9 reads 0614.  Therefore, state is: 0x0001
A8 reads 0510.  Therefore, state is: 0x0002
A7 reads 1013.  Therefore, state is: 0x0005
A6 reads 0866.  Therefore, state is: 0x000b
A5 reads 0653.  Therefore, state is: 0x0017
A4 reads 0622.  Therefore, state is: 0x002f
A3 reads 0617.  Therefore, state is: 0x005f
A2 reads 0803.  Therefore, state is: 0x00bf
A1 reads 0993.  Therefore, state is: 0x017f
A0 reads 0739.  Therefore, state is: 0x02ff
[MAIN] State is: 0x2ff, time is:    5
LOOPING
A9 reads 0568.  Therefore, state is: 0000
A8 reads 0689.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0870.  Therefore, state is: 0x0007
A5 reads 0669.  Therefore, state is: 0x000f
A4 reads 0603.  Therefore, state is: 0x001f
A3 reads 0578.  Therefore, state is: 0x003e
A2 reads 0747.  Therefore, state is: 0x007d
A1 reads 0984.  Therefore, state is: 0x00fb
A0 reads 0750.  Therefore, state is: 0x01f7
[MAIN] State is: 0x1f7, time is:    6
LOOPING
A9 reads 0554.  Therefore, state is: 0000
A8 reads 0714.  Therefore, state is: 0x0001
A7 reads 1013.  Therefore, state is: 0x0003
A6 reads 0890.  Therefore, state is: 0x0007
A5 reads 0719.  Therefore, state is: 0x000f
A4 reads 0648.  Therefore, state is: 0x001f
A3 reads 0603.  Therefore, state is: 0x003f
A2 reads 0719.  Therefore, state is: 0x007f
A1 reads 0978.  Therefore, state is: 0x00ff
A0 reads 0758.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:    7
LOOPING
A9 reads 0550.  Therefore, state is: 0000
A8 reads 0460.  Therefore, state is: 0000
A7 reads 1004.  Therefore, state is: 0x0001
A6 reads 0898.  Therefore, state is: 0x0003
A5 reads 1012.  Therefore, state is: 0x0007
A4 reads 0850.  Therefore, state is: 0x000f
A3 reads 0756.  Therefore, state is: 0x001f
A2 reads 0945.  Therefore, state is: 0x003f
A1 reads 1007.  Therefore, state is: 0x007f
A0 reads 1023.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:    8
LOOPING
A9 reads 0724.  Therefore, state is: 0x0001
A8 reads 0448.  Therefore, state is: 0x0002
A7 reads 1004.  Therefore, state is: 0x0005
A6 reads 0897.  Therefore, state is: 0x000b
A5 reads 0997.  Therefore, state is: 0x0017
A4 reads 0883.  Therefore, state is: 0x002f
A3 reads 0792.  Therefore, state is: 0x005f
A2 reads 0948.  Therefore, state is: 0x00bf
A1 reads 1005.  Therefore, state is: 0x017f
A0 reads 1001.  Therefore, state is: 0x02ff
[MAIN] State is: 0x2ff, time is:    9
LOOPING
A9 reads 0644.  Therefore, state is: 0x0001
A8 reads 0532.  Therefore, state is: 0x0002
A7 reads 1012.  Therefore, state is: 0x0005
A6 reads 0906.  Therefore, state is: 0x000b
A5 reads 1006.  Therefore, state is: 0x0017
A4 reads 0919.  Therefore, state is: 0x002f
A3 reads 0836.  Therefore, state is: 0x005f
A2 reads 0995.  Therefore, state is: 0x00bf
A1 reads 1014.  Therefore, state is: 0x017f
A0 reads 1010.  Therefore, state is: 0x02ff
[MAIN] State is: 0x2ff, time is:   10
LOOPING
A9 reads 0558.  Therefore, state is: 0000
A8 reads 0477.  Therefore, state is: 0000
A7 reads 1004.  Therefore, state is: 0x0001
A6 reads 0904.  Therefore, state is: 0x0003
A5 reads 0980.  Therefore, state is: 0x0007
A4 reads 0904.  Therefore, state is: 0x000f
A3 reads 0833.  Therefore, state is: 0x001f
A2 reads 0984.  Therefore, state is: 0x003f
A1 reads 1008.  Therefore, state is: 0x007f
A0 reads 0985.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   11
LOOPING
A9 reads 0519.  Therefore, state is: 0000
A8 reads 0470.  Therefore, state is: 0000
A7 reads 1002.  Therefore, state is: 0x0001
A6 reads 0904.  Therefore, state is: 0x0003
A5 reads 1004.  Therefore, state is: 0x0007
A4 reads 0923.  Therefore, state is: 0x000f
A3 reads 0847.  Therefore, state is: 0x001f
A2 reads 0957.  Therefore, state is: 0x003f
A1 reads 1008.  Therefore, state is: 0x007f
A0 reads 0976.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   12
LOOPING
A9 reads 0495.  Therefore, state is: 0000
A8 reads 0462.  Therefore, state is: 0000
A7 reads 1007.  Therefore, state is: 0x0001
