A9 reads 0335.  Therefore, state is: 0000
A8 reads 0037.  Therefore, state is: 0000
A7 reads 0281.  Therefore, state is: 0000
A6 reads 0297.  Therefore, state is: 0000
A5 reads 0182.  Therefore, state is: 0000
A4 reads 0262.  Therefore, state is: 0000
A3 reads 0321.  Therefore, state is: 0000
A2 reads 0289.  Therefore, state is: 0000
A1 reads 0274.  Therefore, state is: 0000
A0 reads 0303.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  104
A9 reads 0374.  Therefore, state is: 0000
A8 reads 0157.  Therefore, state is: 0000
A7 reads 0290.  Therefore, state is: 0000
A6 reads 0339.  Therefore, state is: 0000
A5 reads 0335.  Therefore, state is: 0000
A4 reads 0329.  Therefore, state is: 0000
A3 reads 0347.  Therefore, state is: 0000
A2 reads 0384.  Therefore, state is: 0000
A1 reads 0351.  Therefore, state is: 0000
A0 reads 0357.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  105
A9 reads 0418.  Therefore, state is: 0000
A8 reads 0198.  Therefore, state is: 0000
A7 reads 0299.  Therefore, state is: 0000
A6 reads 0353.  Therefore, state is: 0000
A5 reads 0607.  Therefore, state is: 0x0001
A4 reads 0566.  Therefore, state is: 0x0002
A3 reads 0573.  Therefore, state is: 0x0004
A2 reads 0927.  Therefore, state is: 0x0009
A1 reads 1002.  Therefore, state is: 0x0013
A0 reads 0904.  Therefore, state is: 0x0027
[MAIN] State is: 0x27, time is:  106
A9 reads 0339.  Therefore, state is: 0000
A8 reads 0099.  Therefore, state is: 0000
A7 reads 0267.  Therefore, state is: 0000
A6 reads 0313.  Therefore, state is: 0000
A5 reads 0586.  Therefore, state is: 0000
A4 reads 0574.  Therefore, state is: 0000
A3 reads 0565.  Therefore, state is: 0000
A2 reads 0899.  Therefore, state is: 0x0001
A1 reads 1006.  Therefore, state is: 0x0003
A0 reads 0919.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  107
A9 reads 0364.  Therefore, state is: 0000
A8 reads 0174.  Therefore, state is: 0000
A7 reads 0267.  Therefore, state is: 0000
A6 reads 0292.  Therefore, state is: 0000
A5 reads 0607.  Therefore, state is: 0x0001
A4 reads 0590.  Therefore, state is: 0x0002
A3 reads 0569.  Therefore, state is: 0x0004
A2 reads 0866.  Therefore, state is: 0x0009
A1 reads 0991.  Therefore, state is: 0x0013
A0 reads 0929.  Therefore, state is: 0x0027
[MAIN] State is: 0x27, time is:  108
A9 reads 0360.  Therefore, state is: 0000
A8 reads 0190.  Therefore, state is: 0000
A7 reads 0250.  Therefore, state is: 0000
A6 reads 0262.  Therefore, state is: 0000
A5 reads 0546.  Therefore, state is: 0000
A4 reads 0541.  Therefore, state is: 0000
A3 reads 0533.  Therefore, state is: 0000
A2 reads 0820.  Therefore, state is: 0x0001
A1 reads 0989.  Therefore, state is: 0x0003
A0 reads 0910.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  109
A9 reads 0282.  Therefore, state is: 0000
A8 reads 0133.  Therefore, state is: 0000
A7 reads 0224.  Therefore, state is: 0000
A6 reads 0237.  Therefore, state is: 0000
A5 reads 0516.  Therefore, state is: 0000
A4 reads 0520.  Therefore, state is: 0000
A3 reads 0513.  Therefore, state is: 0000
A2 reads 0793.  Therefore, state is: 0x0001
[MAIN] State is:  0x7, time is:  110
A1 reads 0997.  Therefore, state is: 0x0003
A0 reads 0936.  Therefore, state is: 0x0007
A9 reads 0317.  Therefore, state is: 0000
A8 reads 0226.  Therefore, state is: 0000
A7 reads 0238.  Therefore, state is: 0000
A6 reads 0246.  Therefore, state is: 0000
A5 reads 0536.  Therefore, state is: 0000
A4 reads 0528.  Therefore, state is: 0000
A3 reads 0512.  Therefore, state is: 0000
A2 reads 0769.  Therefore, state is: 0x0001
A1 reads 0983.  Therefore, state is: 0x0003
A0 reads 0936.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  111
A9 reads 0310.  Therefore, state is: 0000
A8 reads 0206.  Therefore, state is: 0000
A7 reads 0225.  Therefore, state is: 0000
A6 reads 0234.  Therefore, state is: 0000
A5 reads 0471.  Therefore, state is: 0000
A4 reads 0477.  Therefore, state is: 0000
A3 reads 0469.  Therefore, state is: 0000
A2 reads 0725.  Therefore, state is: 0x0001
A1 reads 0985.  Therefore, state is: 0x0003
A0 reads 0920.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  112
A9 reads 0251.  Therefore, state is: 0000
A8 reads 0171.  Therefore, state is: 0000
A7 reads 0217.  Therefore, state is: 0000
A6 reads 0233.  Therefore, state is: 0000
A5 reads 0478.  Therefore, state is: 0000
A4 reads 0476.  Therefore, state is: 0000
A3 reads 0468.  Therefore, state is: 0000
A2 reads 0708.  Therefore, state is: 0x0001
A1 reads 0977.  Therefore, state is: 0x0003
A0 reads 0946.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  113
A9 reads 0313.  Therefore, state is: 0000
A8 reads 0271.  Therefore, state is: 0000
A7 reads 0238.  Therefore, state is: 0000
A6 reads 0238.  Therefore, state is: 0000
A5 reads 0491.  Therefore, state is: 0000
A2 reads 0686.  Therefore, state is: 0x0001
A1 reads 0980.  Therefore, state is: 0x0003
A4 reads 0479.  Therefore, state is: 0000
A3 reads 0464.  Therefore, state is: 0000
A0 reads 0947.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  114
A9 reads 0291.  Therefore, state is: 0000
A8 reads 0218.  Therefore, state is: 0000
A7 reads 0224.  Therefore, state is: 0000
A6 reads 0228.  Therefore, state is: 0000
A5 reads 0421.  Therefore, state is: 0000
A4 reads 0424.  Therefore, state is: 0000
A3 reads 0423.  Therefore, state is: 0000
A2 reads 0681.  Therefore, state is: 0x0001
A1 reads 0969.  Therefore, state is: 0x0003
A0 reads 0918.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:  115
A9 reads 0237.  Therefore, state is: 0000
A8 reads 0176.  Therefore, state is: 0000
A7 reads 0220.  Therefore, state is: 0000
A6 reads 0232.  Therefore, state is: 0000
A5 reads 0430.  Therefore, state is: 0000
