LOOPING
A9 reads 0319.  Therefore, state is: 0000
A8 reads 0319.  Therefore, state is: 0000
A7 reads 0185.  Therefore, state is: 0000
A6 reads 0240.  Therefore, state is: 0000
A5 reads 0712.  Therefore, state is: 0x0001
A4 reads 0651.  Therefore, state is: 0x0003
A3 reads 0594.  Therefore, state is: 0x0006
A2 reads 0444.  Therefore, state is: 0x000c
A1 reads 0199.  Therefore, state is: 0x0018
A0 reads 0218.  Therefore, state is: 0x0030
[MAIN] State is: 0x30, time is:    4
LOOPING
A9 reads 0245.  Therefore, state is: 0000
A8 reads 0262.  Therefore, state is: 0000
A7 reads 0081.  Therefore, state is: 0000
A6 reads 0181.  Therefore, state is: 0000
A5 reads 0624.  Therefore, state is: 0x0001
A4 reads 0592.  Therefore, state is: 0x0002
A3 reads 0549.  Therefore, state is: 0x0004
A2 reads 0382.  Therefore, state is: 0x0008
A1 reads 0109.  Therefore, state is: 0x0010
A0 reads 0141.  Therefore, state is: 0x0020
[MAIN] State is: 0x20, time is:    5
LOOPING
A9 reads 0282.  Therefore, state is: 0000
A8 reads 0297.  Therefore, state is: 0000
A7 reads 0123.  Therefore, state is: 0000
A6 reads 0204.  Therefore, state is: 0000
A5 reads 0672.  Therefore, state is: 0x0001
A4 reads 0628.  Therefore, state is: 0x0003
A3 reads 0583.  Therefore, state is: 0x0006
A2 reads 0425.  Therefore, state is: 0x000c
A1 reads 0155.  Therefore, state is: 0x0018
A0 reads 0189.  Therefore, state is: 0x0030
[MAIN] State is: 0x30, time is:    6
LOOPING
A9 reads 0384.  Therefore, state is: 0000
A8 reads 0380.  Therefore, state is: 0000
A7 reads 0261.  Therefore, state is: 0000
A6 reads 0287.  Therefore, state is: 0000
A5 reads 0772.  Therefore, state is: 0x0001
A4 reads 0710.  Therefore, state is: 0x0003
A3 reads 0657.  Therefore, state is: 0x0007
A2 reads 0525.  Therefore, state is: 0x000e
A1 reads 0259.  Therefore, state is: 0x001c
A0 reads 0294.  Therefore, state is: 0x0038
[MAIN] State is: 0x38, time is:    7
LOOPING
A9 reads 0371.  Therefore, state is: 0000
A8 reads 0377.  Therefore, state is: 0000
A7 reads 0258.  Therefore, state is: 0000
A6 reads 0297.  Therefore, state is: 0000
A5 reads 0790.  Therefore, state is: 0x0001
A4 reads 0730.  Therefore, state is: 0x0003
A3 reads 0674.  Therefore, state is: 0x0007
A2 reads 0541.  Therefore, state is: 0x000e
A1 reads 0284.  Therefore, state is: 0x001c
A0 reads 0320.  Therefore, state is: 0x0038
[MAIN] State is: 0x38, time is:    8
LOOPING
A9 reads 0148.  Therefore, state is: 0000
A8 reads 0167.  Therefore, state is: 0000
A7 reads 0001.  Therefore, state is: 0000
A6 reads 0121.  Therefore, state is: 0000
A5 reads 0467.  Therefore, state is: 0000
A4 reads 0482.  Therefore, state is: 0000
A3 reads 0466.  Therefore, state is: 0000
A2 reads 0300.  Therefore, state is: 0000
A1 reads 0033.  Therefore, state is: 0000
A0 reads 0027.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    9
LOOPING
A9 reads 0246.  Therefore, state is: 0000
A8 reads 0264.  Therefore, state is: 0000
A7 reads 0093.  Therefore, state is: 0000
A6 reads 0182.  Therefore, state is: 0000
A5 reads 0539.  Therefore, state is: 0000
A4 reads 0515.  Therefore, state is: 0000
A3 reads 0495.  Therefore, state is: 0000
A2 reads 0355.  Therefore, state is: 0000
A1 reads 0112.  Therefore, state is: 0000
A0 reads 0147.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   10
LOOPING
A9 reads 0298.  Therefore, state is: 0000
A8 reads 0316.  Therefore, state is: 0000
A7 reads 0155.  Therefore, state is: 0000
A6 reads 0220.  Therefore, state is: 0000
A5 reads 0609.  Therefore, state is: 0x0001
A4 reads 0569.  Therefore, state is: 0x0002
A3 reads 0538.  Therefore, state is: 0x0004
A2 reads 0412.  Therefore, state is: 0x0008
A1 reads 0182.  Therefore, state is: 0x0010
A0 reads 0216.  Therefore, state is: 0x0020
[MAIN] State is: 0x20, time is:   11
LOOPING
A9 reads 0308.  Therefore, state is: 0000
A8 reads 0316.  Therefore, state is: 0000
A7 reads 0174.  Therefore, state is: 0000
A6 reads 0229.  Therefore, state is: 0000
A5 reads 0630.  Therefore, state is: 0x0001
