A9 reads 0832.  Therefore, state is: 0x0001
A8 reads 0560.  Therefore, state is: 0x0002
A7 reads 0588.  Therefore, state is: 0x0004
A6 reads 0536.  Therefore, state is: 0x0008
A5 reads 0569.  Therefore, state is: 0x0010
A4 reads 0493.  Therefore, state is: 0x0020
A3 reads 0484.  Therefore, state is: 0x0040
A2 reads 0954.  Therefore, state is: 0x0081
A1 reads 0862.  Therefore, state is: 0x0103
A0 reads 0743.  Therefore, state is: 0x0207
[MAIN] State is: 0x207, time is:    1
A9 reads 0748.  Therefore, state is: 0x0001
A8 reads 0503.  Therefore, state is: 0x0002
A7 reads 0553.  Therefore, state is: 0x0004
A6 reads 0532.  Therefore, state is: 0x0008
A5 reads 0504.  Therefore, state is: 0x0010
A4 reads 0473.  Therefore, state is: 0x0020
A3 reads 0462.  Therefore, state is: 0x0040
A2 reads 0953.  Therefore, state is: 0x0081
A1 reads 0840.  Therefore, state is: 0x0103
A0 reads 0790.  Therefore, state is: 0x0207
[MAIN] State is: 0x207, time is:    2
A9 reads 0658.  Therefore, state is: 0x0001
A8 reads 0532.  Therefore, state is: 0x0002
A7 reads 0547.  Therefore, state is: 0x0004
A6 reads 0538.  Therefore, state is: 0x0008
A5 reads 0546.  Therefore, state is: 0x0010
A4 reads 0515.  Therefore, state is: 0x0020
A3 reads 0491.  Therefore, state is: 0x0040
A2 reads 0958.  Therefore, state is: 0x0081
A1 reads 0876.  Therefore, state is: 0x0103
A0 reads 0831.  Therefore, state is: 0x0207
[MAIN] State is: 0x207, time is:    3
A9 reads 0644.  Therefore, state is: 0x0001
A8 reads 0529.  Therefore, state is: 0x0002
A7 reads 0543.  Therefore, state is: 0x0004
A6 reads 0535.  Therefore, state is: 0x0008
A5 reads 0566.  Therefore, state is: 0x0010
A4 reads 0533.  Therefore, state is: 0x0020
A3 reads 0506.  Therefore, state is: 0x0040
A2 reads 0957.  Therefore, state is: 0x0081
A1 reads 0871.  Therefore, state is: 0x0103
A0 reads 0829.  Therefore, state is: 0x0207
[MAIN] State is: 0x207, time is:    4
A9 reads 0592.  Therefore, state is: 0000
A8 reads 0546.  Therefore, state is: 0000
A7 reads 0533.  Therefore, state is: 0000
A6 reads 0517.  Therefore, state is: 0000
A5 reads 0502.  Therefore, state is: 0000
A4 reads 0493.  Therefore, state is: 0000
A3 reads 0483.  Therefore, state is: 0000
A2 reads 0957.  Therefore, state is: 0x0001
A1 reads 0865.  Therefore, state is: 0x0003
A0 reads 0831.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    5
A9 reads 0546.  Therefore, state is: 0000
A8 reads 0519.  Therefore, state is: 0000
A7 reads 0535.  Therefore, state is: 0000
A6 reads 0521.  Therefore, state is: 0000
A5 reads 0556.  Therefore, state is: 0000
A4 reads 0530.  Therefore, state is: 0000
A3 reads 0507.  Therefore, state is: 0000
A2 reads 0958.  Therefore, state is: 0x0001
A1 reads 0897.  Therefore, state is: 0x0003
A0 reads 0854.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    6
A9 reads 0565.  Therefore, state is: 0000
A8 reads 0571.  Therefore, state is: 0000
A7 reads 0545.  Therefore, state is: 0000
A6 reads 0524.  Therefore, state is: 0000
A5 reads 0563.  Therefore, state is: 0000
A4 reads 0536.  Therefore, state is: 0000
A3 reads 0512.  Therefore, state is: 0000
A2 reads 0957.  Therefore, state is: 0x0001
A1 reads 0886.  Therefore, state is: 0x0003
A0 reads 0846.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    7
A9 reads 0520.  Therefore, state is: 0000
A8 reads 0560.  Therefore, state is: 0000
A7 reads 0536.  Therefore, state is: 0000
A6 reads 0518.  Therefore, state is: 0000
A5 reads 0505.  Therefore, state is: 0000
A4 reads 0504.  Therefore, state is: 0000
A3 reads 0494.  Therefore, state is: 0000
A2 reads 0961.  Therefore, state is: 0x0001
A1 reads 0888.  Therefore, state is: 0x0003
A0 reads 0851.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    8
A9 reads 0505.  Therefore, state is: 0000
A8 reads 0565.  Therefore, state is: 0000
A7 reads 0549.  Therefore, state is: 0000
A6 reads 0532.  Therefore, state is: 0000
A5 reads 0568.  Therefore, state is: 0000
A4 reads 0541.  Therefore, state is: 0000
A3 reads 0517.  Therefore, state is: 0000
A2 reads 0960.  Therefore, state is: 0x0001
A1 reads 0912.  Therefore, state is: 0x0003
A0 reads 0870.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:    9
A9 reads 0511.  Therefore, state is: 0000
A8 reads 0569.  Therefore, state is: 0000
A7 reads 0553.  Therefore, state is: 0000
A6 reads 0531.  Therefore, state is: 0000
A5 reads 0550.  Therefore, state is: 0000
A4 reads 0525.  Therefore, state is: 0000
A3 reads 0506.  Therefore, state is: 0000
A2 reads 0957.  Therefore, state is: 0x0001
A1 reads 0889.  Therefore, state is: 0x0003
A0 reads 0852.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   10
A9 reads 0468.  Therefore, state is: 0000
A8 reads 0562.  Therefore, state is: 0000
A7 reads 0544.  Therefore, state is: 0000
A6 reads 0521.  Therefore, state is: 0000
A5 reads 0512.  Therefore, state is: 0000
A4 reads 0504.  Therefore, state is: 0000
A3 reads 0493.  Therefore, state is: 0000
A2 reads 0959.  Therefore, state is: 0x0001
A1 reads 0900.  Therefore, state is: 0x0003
A0 reads 0862.  Therefore, state is: 0x0007
