LOOPING
A3 reads 0734.  Therefore, state is: 0x007f
A2 reads 0807.  Therefore, state is: 0x00ff
A1 reads 0816.  Therefore, state is: 0x01ff
A0 reads 0869.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   13
LOOPING
A9 reads 1002.  Therefore, state is: 0x0001
A8 reads 0950.  Therefore, state is: 0x0003
A7 reads 0982.  Therefore, state is: 0x0007
A6 reads 0863.  Therefore, state is: 0x000f
A5 reads 0980.  Therefore, state is: 0x001f
A4 reads 0880.  Therefore, state is: 0x003f
A3 reads 0810.  Therefore, state is: 0x007f
A2 reads 0876.  Therefore, state is: 0x00ff
A1 reads 0779.  Therefore, state is: 0x01ff
A0 reads 0777.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   14
LOOPING
A9 reads 0961.  Therefore, state is: 0x0001
A8 reads 0890.  Therefore, state is: 0x0003
A7 reads 0924.  Therefore, state is: 0x0007
A6 reads 0825.  Therefore, state is: 0x000f
A5 reads 0761.  Therefore, state is: 0x001f
A4 reads 0719.  Therefore, state is: 0x003f
A3 reads 0669.  Therefore, state is: 0x007f
A2 reads 0665.  Therefore, state is: 0x00ff
A1 reads 0674.  Therefore, state is: 0x01ff
A0 reads 0740.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   15
LOOPING
A9 reads 0877.  Therefore, state is: 0x0001
A8 reads 0805.  Therefore, state is: 0x0003
A7 reads 0904.  Therefore, state is: 0x0007
A6 reads 0835.  Therefore, state is: 0x000f
A5 reads 0924.  Therefore, state is: 0x001f
A4 reads 0853.  Therefore, state is: 0x003f
A3 reads 0797.  Therefore, state is: 0x007f
A2 reads 0916.  Therefore, state is: 0x00ff
A1 reads 0936.  Therefore, state is: 0x01ff
A0 reads 0946.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   16
LOOPING
A9 reads 0686.  Therefore, state is: 0x0001
A8 reads 0754.  Therefore, state is: 0x0003
A7 reads 0850.  Therefore, state is: 0x0007
A6 reads 0762.  Therefore, state is: 0x000f
A5 reads 0880.  Therefore, state is: 0x001f
A4 reads 0811.  Therefore, state is: 0x003f
A3 reads 0745.  Therefore, state is: 0x007f
A2 reads 0766.  Therefore, state is: 0x00ff
A1 reads 0735.  Therefore, state is: 0x01ff
A0 reads 0708.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   17
LOOPING
A9 reads 0766.  Therefore, state is: 0x0001
A8 reads 0708.  Therefore, state is: 0x0003
A7 reads 0797.  Therefore, state is: 0x0007
A6 reads 0709.  Therefore, state is: 0x000f
