LOOPING
A9 reads 0485.  Therefore, state is: 0000
A8 reads 0460.  Therefore, state is: 0000
A7 reads 1002.  Therefore, state is: 0x0001
A6 reads 0894.  Therefore, state is: 0x0003
A5 reads 0726.  Therefore, state is: 0x0007
A4 reads 0682.  Therefore, state is: 0x000f
A3 reads 0646.  Therefore, state is: 0x001f
A2 reads 0816.  Therefore, state is: 0x003f
A1 reads 0993.  Therefore, state is: 0x007f
A0 reads 0950.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   12
LOOPING
A9 reads 0477.  Therefore, state is: 0000
A8 reads 0456.  Therefore, state is: 0000
A7 reads 1002.  Therefore, state is: 0x0001
A6 reads 0897.  Therefore, state is: 0x0003
A5 reads 0718.  Therefore, state is: 0x0007
A4 reads 0669.  Therefore, state is: 0x000f
A3 reads 0634.  Therefore, state is: 0x001f
A2 reads 0804.  Therefore, state is: 0x003f
A1 reads 0988.  Therefore, state is: 0x007f
A0 reads 0946.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   13
LOOPING
A9 reads 0471.  Therefore, state is: 0000
A8 reads 0449.  Therefore, state is: 0000
A7 reads 1004.  Therefore, state is: 0x0001
A6 reads 0898.  Therefore, state is: 0x0003
A5 reads 0715.  Therefore, state is: 0x0007
A4 reads 0664.  Therefore, state is: 0x000f
A3 reads 0628.  Therefore, state is: 0x001f
A2 reads 0797.  Therefore, state is: 0x003f
A1 reads 0988.  Therefore, state is: 0x007f
A0 reads 0947.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   14
LOOPING
A9 reads 0461.  Therefore, state is: 0000
A8 reads 0442.  Therefore, state is: 0000
A7 reads 1005.  Therefore, state is: 0x0001
A6 reads 0898.  Therefore, state is: 0x0003
A5 reads 0707.  Therefore, state is: 0x0007
A4 reads 0655.  Therefore, state is: 0x000f
A3 reads 0620.  Therefore, state is: 0x001f
A2 reads 0785.  Therefore, state is: 0x003f
A1 reads 0988.  Therefore, state is: 0x007f
A0 reads 0941.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   15
LOOPING
A9 reads 0461.  Therefore, state is: 0000
A8 reads 0443.  Therefore, state is: 0000
A7 reads 1005.  Therefore, state is: 0x0001
A6 reads 0899.  Therefore, state is: 0x0003
A5 reads 0714.  Therefore, state is: 0x0007
A4 reads 0658.  Therefore, state is: 0x000f
A3 reads 0622.  Therefore, state is: 0x001f
A2 reads 0782.  Therefore, state is: 0x003f
A1 reads 0991.  Therefore, state is: 0x007f
A0 reads 0946.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   16
LOOPING
A9 reads 0432.  Therefore, state is: 0000
A8 reads 0458.  Therefore, state is: 0000
A7 reads 1002.  Therefore, state is: 0x0001
A6 reads 0901.  Therefore, state is: 0x0003
A5 reads 0716.  Therefore, state is: 0x0007
A4 reads 0666.  Therefore, state is: 0x000f
A3 reads 0631.  Therefore, state is: 0x001f
A2 reads 0804.  Therefore, state is: 0x003f
A1 reads 0989.  Therefore, state is: 0x007f
A0 reads 0986.  Therefore, state is: 0x00ff
[MAIN] State is: 0xff, time is:   17
LOOPING
A9 reads 0422.  Therefore, state is: 0000
A8 reads 0717.  Therefore, state is: 0x0001
A7 reads 1013.  Therefore, state is: 0x0003
A6 reads 0901.  Therefore, state is: 0x0007
A5 reads 0556.  Therefore, state is: 0x000e
A4 reads 0569.  Therefore, state is: 0x001c
A3 reads 0562.  Therefore, state is: 0x0038
A2 reads 0674.  Therefore, state is: 0x0071
A1 reads 0970.  Therefore, state is: 0x00e3
