LOOPING
A1 reads 0588.  Therefore, state is: 0x01fc
A0 reads 0614.  Therefore, state is: 0x03f9
[MAIN] State is: 0x3f9, time is:   12
LOOPING
A9 reads 0720.  Therefore, state is: 0x0001
A8 reads 0992.  Therefore, state is: 0x0003
A7 reads 1018.  Therefore, state is: 0x0007
A6 reads 0907.  Therefore, state is: 0x000f
A5 reads 0733.  Therefore, state is: 0x001f
A4 reads 0677.  Therefore, state is: 0x003f
A3 reads 0632.  Therefore, state is: 0x007f
A2 reads 0535.  Therefore, state is: 0x00fe
A1 reads 0553.  Therefore, state is: 0x01fc
A0 reads 0555.  Therefore, state is: 0x03f8
[MAIN] State is: 0x3f8, time is:   13
LOOPING
A9 reads 0692.  Therefore, state is: 0x0001
A8 reads 0994.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0908.  Therefore, state is: 0x000f
A5 reads 0740.  Therefore, state is: 0x001f
A4 reads 0689.  Therefore, state is: 0x003f
A3 reads 0644.  Therefore, state is: 0x007f
A2 reads 0549.  Therefore, state is: 0x00fe
A1 reads 0554.  Therefore, state is: 0x01fc
A0 reads 0583.  Therefore, state is: 0x03f8
[MAIN] State is: 0x3f8, time is:   14
LOOPING
A9 reads 0706.  Therefore, state is: 0x0001
A8 reads 0987.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0909.  Therefore, state is: 0x000f
A5 reads 0784.  Therefore, state is: 0x001f
A4 reads 0716.  Therefore, state is: 0x003f
A3 reads 0662.  Therefore, state is: 0x007f
A2 reads 0545.  Therefore, state is: 0x00fe
A1 reads 0538.  Therefore, state is: 0x01fc
A0 reads 0548.  Therefore, state is: 0x03f8
[MAIN] State is: 0x3f8, time is:   15
LOOPING
A9 reads 0558.  Therefore, state is: 0000
A8 reads 0896.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0910.  Therefore, state is: 0x0007
A5 reads 0827.  Therefore, state is: 0x000f
A4 reads 0756.  Therefore, state is: 0x001f
A3 reads 0698.  Therefore, state is: 0x003f
A2 reads 0597.  Therefore, state is: 0x007e
A1 reads 0579.  Therefore, state is: 0x00fc
A0 reads 0582.  Therefore, state is: 0x01f8
[MAIN] State is: 0x1f8, time is:   16
LOOPING
A9 reads 0191.  Therefore, state is: 0000
A8 reads 0617.  Therefore, state is: 0x0001
A7 reads 1006.  Therefore, state is: 0x0003
A6 reads 0914.  Therefore, state is: 0x0007
A5 reads 0942.  Therefore, state is: 0x000f
A4 reads 0857.  Therefore, state is: 0x001f
A3 reads 0789.  Therefore, state is: 0x003f
A2 reads 0783.  Therefore, state is: 0x007f
A1 reads 0721.  Therefore, state is: 0x00ff
A0 reads 0735.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   17
LOOPING
A9 reads 0402.  Therefore, state is: 0000
A8 reads 0841.  Therefore, state is: 0x0001
A7 reads 1015.  Therefore, state is: 0x0003
A6 reads 0926.  Therefore, state is: 0x0007
A5 reads 1012.  Therefore, state is: 0x000f
A4 reads 0948.  Therefore, state is: 0x001f
A3 reads 0887.  Therefore, state is: 0x003f
A2 reads 1023.  Therefore, state is: 0x007f
A1 reads 1023.  Therefore, state is: 0x00ff
A0 reads 1005.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   18
LOOPING
A9 reads 0773.  Therefore, state is: 0x0001
A8 reads 0998.  Therefore, state is: 0x0003
A7 reads 1021.  Therefore, state is: 0x0007
A6 reads 0913.  Therefore, state is: 0x000f
A5 reads 0939.  Therefore, state is: 0x001f
A4 reads 0900.  Therefore, state is: 0x003f
A3 reads 0856.  Therefore, state is: 0x007f
A2 reads 1001.  Therefore, state is: 0x00ff
A1 reads 1022.  Therefore, state is: 0x01ff
A0 reads 0896.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   19
LOOPING
A9 reads 0695.  Therefore, state is: 0x0001
A8 reads 0962.  Therefore, state is: 0x0003
A7 reads 1017.  Therefore, state is: 0x0007
A6 reads 0907.  Therefore, state is: 0x000f
A5 reads 0802.  Therefore, state is: 0x001f
A4 reads 0780.  Therefore, state is: 0x003f
A3 reads 0755.  Therefore, state is: 0x007f
A2 reads 0918.  Therefore, state is: 0x00ff
A1 reads 0923.  Therefore, state is: 0x01ff
A0 reads 0783.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   20
LOOPING
A9 reads 0802.  Therefore, state is: 0x0001
A8 reads 0964.  Therefore, state is: 0x0003
