A9 reads 0924.  Therefore, state is: 0x0001
A8 reads 0528.  Therefore, state is: 0x0002
A7 reads 0453.  Therefore, state is: 0x0004
A6 reads 0574.  Therefore, state is: 0x0008
A5 reads 0860.  Therefore, state is: 0x0011
A4 reads 0734.  Therefore, state is: 0x0023
A3 reads 0693.  Therefore, state is: 0x0047
A2 reads 0945.  Therefore, state is: 0x008f
A1 reads 1008.  Therefore, state is: 0x011f
A0 reads 1005.  Therefore, state is: 0x023f
[MAIN] State is: 0x23f, time is:    1
A9 reads 0852.  Therefore, state is: 0x0001
A8 reads 0714.  Therefore, state is: 0x0003
A7 reads 0516.  Therefore, state is: 0x0006
A6 reads 0552.  Therefore, state is: 0x000c
A5 reads 0892.  Therefore, state is: 0x0019
A4 reads 0825.  Therefore, state is: 0x0033
A3 reads 0757.  Therefore, state is: 0x0067
A2 reads 0897.  Therefore, state is: 0x00cf
A1 reads 0967.  Therefore, state is: 0x019f
A0 reads 0905.  Therefore, state is: 0x033f
[MAIN] State is: 0x33f, time is:    2
A9 reads 0745.  Therefore, state is: 0x0001
A8 reads 0749.  Therefore, state is: 0x0003
A7 reads 0556.  Therefore, state is: 0x0006
A6 reads 0549.  Therefore, state is: 0x000c
A5 reads 0850.  Therefore, state is: 0x0019
A4 reads 0824.  Therefore, state is: 0x0033
A3 reads 0780.  Therefore, state is: 0x0067
A2 reads 0923.  Therefore, state is: 0x00cf
A1 reads 0987.  Therefore, state is: 0x019f
A0 reads 0992.  Therefore, state is: 0x033f
[MAIN] State is: 0x33f, time is:    3
A9 reads 0656.  Therefore, state is: 0x0001
A8 reads 0638.  Therefore, state is: 0x0003
A7 reads 0557.  Therefore, state is: 0x0006
A6 reads 0532.  Therefore, state is: 0x000c
A5 reads 0840.  Therefore, state is: 0x0019
A4 reads 0822.  Therefore, state is: 0x0033
A3 reads 0788.  Therefore, state is: 0x0067
A2 reads 0918.  Therefore, state is: 0x00cf
A1 reads 1018.  Therefore, state is: 0x019f
A0 reads 1010.  Therefore, state is: 0x033f
[MAIN] State is: 0x33f, time is:    4
A9 reads 0643.  Therefore, state is: 0x0001
A8 reads 0748.  Therefore, state is: 0x0003
A7 reads 0601.  Therefore, state is: 0x0007
A6 reads 0575.  Therefore, state is: 0x000e
A5 reads 0885.  Therefore, state is: 0x001d
A4 reads 0854.  Therefore, state is: 0x003b
A3 reads 0813.  Therefore, state is: 0x0077
A2 reads 0915.  Therefore, state is: 0x00ef
A1 reads 1006.  Therefore, state is: 0x01df
A0 reads 1006.  Therefore, state is: 0x03bf
[MAIN] State is: 0x3bf, time is:    5
A9 reads 0554.  Therefore, state is: 0000
A8 reads 0605.  Therefore, state is: 0x0001
A7 reads 0581.  Therefore, state is: 0x0002
A6 reads 0556.  Therefore, state is: 0x0004
A5 reads 0793.  Therefore, state is: 0x0009
A4 reads 0790.  Therefore, state is: 0x0013
A3 reads 0770.  Therefore, state is: 0x0027
A2 reads 0885.  Therefore, state is: 0x004f
A1 reads 0986.  Therefore, state is: 0x009f
A0 reads 0976.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:    6
A9 reads 0514.  Therefore, state is: 0000
A8 reads 0618.  Therefore, state is: 0x0001
A7 reads 0589.  Therefore, state is: 0x0002
A6 reads 0573.  Therefore, state is: 0x0004
A5 reads 0838.  Therefore, state is: 0x0009
A4 reads 0819.  Therefore, state is: 0x0013
A3 reads 0790.  Therefore, state is: 0x0027
A2 reads 0900.  Therefore, state is: 0x004f
A1 reads 1011.  Therefore, state is: 0x009f
A0 reads 1010.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:    7
A9 reads 0512.  Therefore, state is: 0000
A8 reads 0634.  Therefore, state is: 0x0001
A7 reads 0593.  Therefore, state is: 0x0002
A6 reads 0574.  Therefore, state is: 0x0004
A5 reads 0831.  Therefore, state is: 0x0009
A4 reads 0810.  Therefore, state is: 0x0013
A3 reads 0783.  Therefore, state is: 0x0027
A2 reads 0897.  Therefore, state is: 0x004f
A1 reads 1005.  Therefore, state is: 0x009f
A0 reads 0985.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:    8
A9 reads 0433.  Therefore, state is: 0000
A8 reads 0518.  Therefore, state is: 0000
A7 reads 0561.  Therefore, state is: 0000
A6 reads 0545.  Therefore, state is: 0000
A5 reads 0756.  Therefore, state is: 0x0001
A4 reads 0754.  Therefore, state is: 0x0003
A3 reads 0743.  Therefore, state is: 0x0007
A2 reads 0883.  Therefore, state is: 0x000f
A1 reads 0980.  Therefore, state is: 0x001f
A0 reads 0974.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:    9
A9 reads 0426.  Therefore, state is: 0000
A8 reads 0557.  Therefore, state is: 0000
A7 reads 0564.  Therefore, state is: 0000
A6 reads 0557.  Therefore, state is: 0000
A5 reads 0798.  Therefore, state is: 0x0001
A4 reads 0781.  Therefore, state is: 0x0003
A3 reads 0755.  Therefore, state is: 0x0007
A2 reads 0895.  Therefore, state is: 0x000f
A1 reads 1023.  Therefore, state is: 0x001f
A0 reads 1000.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   10
A9 reads 0415.  Therefore, state is: 0000
A8 reads 0503.  Therefore, state is: 0000
