A4 reads 0628.  Therefore, state is: 0x0003
A3 reads 0616.  Therefore, state is: 0x0007
A2 reads 0887.  Therefore, state is: 0x000f
A1 reads 0999.  Therefore, state is: 0x001f
A0 reads 0988.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   13
A9 reads 0452.  Therefore, state is: 0000
A8 reads 0669.  Therefore, state is: 0x0001
A7 reads 0542.  Therefore, state is: 0x0002
A6 reads 0533.  Therefore, state is: 0x0004
A5 reads 0689.  Therefore, state is: 0x0009
A4 reads 0661.  Therefore, state is: 0x0013
A3 reads 0637.  Therefore, state is: 0x0027
A2 reads 0949.  Therefore, state is: 0x004f
A1 reads 1003.  Therefore, state is: 0x009f
A0 reads 0974.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:   14
A9 reads 0407.  Therefore, state is: 0000
A8 reads 0589.  Therefore, state is: 0000
A7 reads 0534.  Therefore, state is: 0000
A6 reads 0499.  Therefore, state is: 0000
A5 reads 0617.  Therefore, state is: 0x0001
A4 reads 0612.  Therefore, state is: 0x0003
A3 reads 0601.  Therefore, state is: 0x0007
A2 reads 0915.  Therefore, state is: 0x000f
A1 reads 1004.  Therefore, state is: 0x001f
A0 reads 0965.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   15
A9 reads 0370.  Therefore, state is: 0000
A8 reads 0617.  Therefore, state is: 0x0001
A7 reads 0548.  Therefore, state is: 0x0002
A6 reads 0531.  Therefore, state is: 0x0004
A5 reads 0659.  Therefore, state is: 0x0009
A4 reads 0639.  Therefore, state is: 0x0013
A3 reads 0621.  Therefore, state is: 0x0027
A2 reads 0921.  Therefore, state is: 0x004f
A1 reads 1010.  Therefore, state is: 0x009f
A0 reads 0984.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:   16
A9 reads 0411.  Therefore, state is: 0000
A8 reads 0706.  Therefore, state is: 0x0001
A7 reads 0583.  Therefore, state is: 0x0002
A6 reads 0564.  Therefore, state is: 0x0004
A5 reads 0667.  Therefore, state is: 0x0009
A4 reads 0648.  Therefore, state is: 0x0013
A3 reads 0627.  Therefore, state is: 0x0027
A2 reads 0947.  Therefore, state is: 0x004f
A1 reads 1003.  Therefore, state is: 0x009f
A0 reads 0963.  Therefore, state is: 0x013f
