LOOPING
A7 reads 0265.  Therefore, state is: 0000
A6 reads 0256.  Therefore, state is: 0000
A5 reads 0256.  Therefore, state is: 0000
A4 reads 0252.  Therefore, state is: 0000
A3 reads 0252.  Therefore, state is: 0000
A2 reads 0231.  Therefore, state is: 0000
A1 reads 0233.  Therefore, state is: 0000
A0 reads 0226.  Therefore, state is: 0000
State is:    0, value of A0 is:  228
LOOPING
A9 reads 0277.  Therefore, state is: 0000
A8 reads 0279.  Therefore, state is: 0000
A7 reads 0291.  Therefore, state is: 0000
A6 reads 0309.  Therefore, state is: 0000
A5 reads 0303.  Therefore, state is: 0000
A4 reads 0295.  Therefore, state is: 0000
A3 reads 0293.  Therefore, state is: 0000
A2 reads 0305.  Therefore, state is: 0000
A1 reads 0319.  Therefore, state is: 0000
A0 reads 0320.  Therefore, state is: 0000
State is:    0, value of A0 is:  311
LOOPING
A9 reads 0324.  Therefore, state is: 0000
A8 reads 0327.  Therefore, state is: 0000
A7 reads 0326.  Therefore, state is: 0000
A6 reads 0288.  Therefore, state is: 0000
A5 reads 0323.  Therefore, state is: 0000
A4 reads 0308.  Therefore, state is: 0000
A3 reads 0300.  Therefore, state is: 0000
A2 reads 0301.  Therefore, state is: 0000
A1 reads 0309.  Therefore, state is: 0000
A0 reads 0296.  Therefore, state is: 0000
State is:    0, value of A0 is:  300
LOOPING
A9 reads 0554.  Therefore, state is: 0000
A8 reads 0558.  Therefore, state is: 0000
A7 reads 0551.  Therefore, state is: 0000
A6 reads 0484.  Therefore, state is: 0000
A5 reads 0536.  Therefore, state is: 0000
A4 reads 0477.  Therefore, state is: 0000
A3 reads 0444.  Therefore, state is: 0000
A2 reads 0497.  Therefore, state is: 0000
A1 reads 0525.  Therefore, state is: 0000
A0 reads 0506.  Therefore, state is: 0000
State is:    0, value of A0 is:  508
LOOPING
A9 reads 0464.  Therefore, state is: 0000
A8 reads 0472.  Therefore, state is: 0000
A7 reads 0475.  Therefore, state is: 0000
A6 reads 0460.  Therefore, state is: 0000
A5 reads 0478.  Therefore, state is: 0000
A4 reads 0460.  Therefore, state is: 0000
A3 reads 0436.  Therefore, state is: 0000
A2 reads 0460.  Therefore, state is: 0000
A1 reads 0493.  Therefore, state is: 0000
A0 reads 0483.  Therefore, state is: 0000
State is:    0, value of A0 is:  484
LOOPING
A9 reads 0484.  Therefore, state is: 0000
A8 reads 0490.  Therefore, state is: 0000
A7 reads 0491.  Therefore, state is: 0000
A6 reads 0438.  Therefore, state is: 0000
A5 reads 0483.  Therefore, state is: 0000
A4 reads 0461.  Therefore, state is: 0000
A3 reads 0439.  Therefore, state is: 0000
A2 reads 0442.  Therefore, state is: 0000
A1 reads 0466.  Therefore, state is: 0000
A0 reads 0448.  Therefore, state is: 0000
State is:    0, value of A0 is:  448
LOOPING
A9 reads 0405.  Therefore, state is: 0000
A8 reads 0398.  Therefore, state is: 0000
A7 reads 0392.  Therefore, state is: 0000
A6 reads 0389.  Therefore, state is: 0000
A5 reads 0381.  Therefore, state is: 0000
A4 reads 0381.  Therefore, state is: 0000
A3 reads 0373.  Therefore, state is: 0000
A2 reads 0347.  Therefore, state is: 0000
A1 reads 0367.  Therefore, state is: 0000
A0 reads 0356.  Therefore, state is: 0000
State is:    0, value of A0 is:  361
LOOPING
A9 reads 0279.  Therefore, state is: 0000
A8 reads 0285.  Therefore, state is: 0000
A7 reads 0289.  Therefore, state is: 0000
A6 reads 0342.  Therefore, state is: 0000
A5 reads 0302.  Therefore, state is: 0000
A4 reads 0317.  Therefore, state is: 0000
A3 reads 0320.  Therefore, state is: 0000
A2 reads 0299.  Therefore, state is: 0000
A1 reads 0318.  Therefore, state is: 0000
A0 reads 0316.  Therefore, state is: 0000
State is:    0, value of A0 is:  311
LOOPING
A9 reads 0398.  Therefore, state is: 0000
A8 reads 0398.  Therefore, state is: 0000
A7 reads 0396.  Therefore, state is: 0000
A6 reads 0345.  Therefore, state is: 0000
A5 reads 0388.  Therefore, state is: 0000
A4 reads 0364.  Therefore, state is: 0000
A3 reads 0353.  Therefore, state is: 0000
A2 reads 0350.  Therefore, state is: 0000
A1 reads 0359.  Therefore, state is: 0000
A0 reads 0347.  Therefore, state is: 0000
State is:    0, value of A0 is:  350
LOOPING
A9 reads 0794.  Therefore, state is: 0001
A8 reads 0807.  Therefore, state is: 0003
A7 reads 0806.  Therefore, state is: 0007
A6 reads 0681.  Therefore, state is: 000f
A5 reads 0794.  Therefore, state is: 001f
A4 reads 0697.  Therefore, state is: 003f
A3 reads 0642.  Therefore, state is: 007f
A2 reads 0751.  Therefore, state is: 00ff
A1 reads 0808.  Therefore, state is: 01ff
A0 reads 0789.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  786
LOOPING
A9 reads 0935.  Therefore, state is: 0001
A8 reads 0947.  Therefore, state is: 0003
A7 reads 0952.  Therefore, state is: 0007
A6 reads 0814.  Therefore, state is: 000f
A5 reads 0948.  Therefore, state is: 001f
A4 reads 0866.  Therefore, state is: 003f
A3 reads 0797.  Therefore, state is: 007f
A2 reads 0900.  Therefore, state is: 00ff
A1 reads 0968.  Therefore, state is: 01ff
A0 reads 0942.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  943
LOOPING
A9 reads 0972.  Therefore, state is: 0001
A8 reads 0991.  Therefore, state is: 0003
A7 reads 0989.  Therefore, state is: 0007
A6 reads 0894.  Therefore, state is: 000f
A5 reads 0973.  Therefore, state is: 001f
A4 reads 0913.  Therefore, state is: 003f
A3 reads 0850.  Therefore, state is: 007f
A2 reads 0903.  Therefore, state is: 00ff
A1 reads 0952.  Therefore, state is: 01ff
A0 reads 0936.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  936
LOOPING
A9 reads 0978.  Therefore, state is: 0001
A8 reads 1007.  Therefore, state is: 0003
A7 reads 1016.  Therefore, state is: 0007
A6 reads 0970.  Therefore, state is: 000f
A5 reads 1023.  Therefore, state is: 001f
A4 reads 0991.  Therefore, state is: 003f
A3 reads 0939.  Therefore, state is: 007f
A2 reads 1023.  Therefore, state is: 00ff
A1 reads 1023.  Therefore, state is: 01ff
A0 reads 1023.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is: 1023
LOOPING
A9 reads 0981.  Therefore, state is: 0001
A8 reads 1018.  Therefore, state is: 0003
A7 reads 1023.  Therefore, state is: 0007
A6 reads 0954.  Therefore, state is: 000f
A5 reads 1023.  Therefore, state is: 001f
A4 reads 1020.  Therefore, state is: 003f
A3 reads 0972.  Therefore, state is: 007f
A2 reads 1023.  Therefore, state is: 00ff
A1 reads 1023.  Therefore, state is: 01ff
A0 reads 1023.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is: 1023
LOOPING
A9 reads 0977.  Therefore, state is: 0001
A8 reads 0980.  Therefore, state is: 0003
A7 reads 0973.  Therefore, state is: 0007
A6 reads 0921.  Therefore, state is: 000f
A5 reads 0956.  Therefore, state is: 001f
A4 reads 0927.  Therefore, state is: 003f
A3 reads 0894.  Therefore, state is: 007f
A2 reads 0917.  Therefore, state is: 00ff
A1 reads 0929.  Therefore, state is: 01ff
A0 reads 0883.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  879
LOOPING
A9 reads 0481.  Therefore, state is: 0000
A8 reads 0486.  Therefore, state is: 0000
A7 reads 0485.  Therefore, state is: 0000
A6 reads 0614.  Therefore, state is: 0001
A5 reads 0497.  Therefore, state is: 0002
A4 reads 0559.  Therefore, state is: 0004
A3 reads 0576.  Therefore, state is: 0008
A2 reads 0496.  Therefore, state is: 0010
A1 reads 0507.  Therefore, state is: 0020
A0 reads 0449.  Therefore, state is: 0040
State is: 0x40, value of A0 is:  448
LOOPING
A9 reads 0236.  Therefore, state is: 0000
A8 reads 0233.  Therefore, state is: 0000
A7 reads 0235.  Therefore, state is: 0000
A6 reads 0318.  Therefore, state is: 0000
A5 reads 0239.  Therefore, state is: 0000
A4 reads 0304.  Therefore, state is: 0000
A3 reads 0340.  Therefore, state is: 0000
A2 reads 0233.  Therefore, state is: 0000
A1 reads 0217.  Therefore, state is: 0000
A0 reads 0163.  Therefore, state is: 0000
State is:    0, value of A0 is:  162
LOOPING
A9 reads 0022.  Therefore, state is: 0000
A8 reads 0013.  Therefore, state is: 0000
A7 reads 0008.  Therefore, state is: 0000
A6 reads 0119.  Therefore, state is: 0000
A5 reads 0009.  Therefore, state is: 0000
A4 reads 0088.  Therefore, state is: 0000
A3 reads 0145.  Therefore, state is: 0000
A2 reads 0022.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
State is:    0, value of A0 is:    0
LOOPING
A9 reads 0005.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0000.  Therefore, state is: 0000
A6 reads 0065.  Therefore, state is: 0000
A5 reads 0000.  Therefore, state is: 0000
A4 reads 0053.  Therefore, state is: 0000
A3 reads 0104.  Therefore, state is: 0000
A2 reads 0014.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
State is:    0, value of A0 is:    0
LOOPING
A9 reads 0012.  Therefore, state is: 0000
A8 reads 0000.  Therefore, state is: 0000
A7 reads 0000.  Therefore, state is: 0000
A6 reads 0050.  Therefore, state is: 0000
A5 reads 0000.  Therefore, state is: 0000
A4 reads 0036.  Therefore, state is: 0000
A3 reads 0083.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
State is:    0, value of A0 is:    0
LOOPING
A9 reads 0170.  Therefore, state is: 0000
A8 reads 0162.  Therefore, state is: 0000
A7 reads 0159.  Therefore, state is: 0000
A6 reads 0155.  Therefore, state is: 0000
A5 reads 0157.  Therefore, state is: 0000
A4 reads 0170.  Therefore, state is: 0000
A3 reads 0196.  Therefore, state is: 0000
A2 reads 0176.  Therefore, state is: 0000
A1 reads 0158.  Therefore, state is: 0000
A0 reads 0192.  Therefore, state is: 0000
State is:    0, value of A0 is:  196
LOOPING
A9 reads 0231.  Therefore, state is: 0000
A8 reads 0216.  Therefore, state is: 0000
A7 reads 0208.  Therefore, state is: 0000
A6 reads 0195.  Therefore, state is: 0000
A5 reads 0186.  Therefore, state is: 0000
A4 reads 0185.  Therefore, state is: 0000
A3 reads 0199.  Therefore, state is: 0000
A2 reads 0180.  Therefore, state is: 0000
A1 reads 0144.  Therefore, state is: 0000
A0 reads 0165.  Therefore, state is: 0000
State is:    0, value of A0 is:  163
LOOPING
A9 reads 0329.  Therefore, state is: 0000
A8 reads 0329.  Therefore, state is: 0000
A7 reads 0327.  Therefore, state is: 0000
A6 reads 0314.  Therefore, state is: 0000
A5 reads 0321.  Therefore, state is: 0000
A4 reads 0294.  Therefore, state is: 0000
A3 reads 0290.  Therefore, state is: 0000
A2 reads 0320.  Therefore, state is: 0000
A1 reads 0297.  Therefore, state is: 0000
A0 reads 0329.  Therefore, state is: 0000
State is:    0, value of A0 is:  326
LOOPING
A9 reads 0190.  Therefore, state is: 0000
A8 reads 0185.  Therefore, state is: 0000
A7 reads 0182.  Therefore, state is: 0000
A6 reads 0220.  Therefore, state is: 0000
A5 reads 0181.  Therefore, state is: 0000
A4 reads 0203.  Therefore, state is: 0000
A3 reads 0216.  Therefore, state is: 0000
A2 reads 0199.  Therefore, state is: 0000
A1 reads 0171.  Therefore, state is: 0000
A0 reads 0214.  Therefore, state is: 0000
State is:    0, value of A0 is:  208
LOOPING
A9 reads 0204.  Therefore, state is: 0000
A8 reads 0199.  Therefore, state is: 0000
A7 reads 0199.  Therefore, state is: 0000
A6 reads 0189.  Therefore, state is: 0000
A5 reads 0201.  Therefore, state is: 0000
A4 reads 0212.  Therefore, state is: 0000
A3 reads 0223.  Therefore, state is: 0000
A2 reads 0222.  Therefore, state is: 0000
A1 reads 0197.  Therefore, state is: 0000
A0 reads 0233.  Therefore, state is: 0000
State is:    0, value of A0 is:  230
LOOPING
A9 reads 0216.  Therefore, state is: 0000
A8 reads 0214.  Therefore, state is: 0000
A7 reads 0211.  Therefore, state is: 0000
A6 reads 0208.  Therefore, state is: 0000
A5 reads 0205.  Therefore, state is: 0000
A4 reads 0213.  Therefore, state is: 0000
A3 reads 0222.  Therefore, state is: 0000
A2 reads 0214.  Therefore, state is: 0000
A1 reads 0187.  Therefore, state is: 0000
A0 reads 0216.  Therefore, state is: 0000
State is:    0, value of A0 is:  221
LOOPING
A9 reads 0242.  Therefore, state is: 0000
A8 reads 0235.  Therefore, state is: 0000
A7 reads 0233.  Therefore, state is: 0000
A6 reads 0230.  Therefore, state is: 0000
A5 reads 0231.  Therefore, state is: 0000
A4 reads 0232.  Therefore, state is: 0000
A3 reads 0238.  Therefore, state is: 0000
A2 reads 0245.  Therefore, state is: 0000
A1 reads 0225.  Therefore, state is: 0000
A0 reads 0251.  Therefore, state is: 0000
State is:    0, value of A0 is:  248
LOOPING
A9 reads 0262.  Therefore, state is: 0000
A8 reads 0265.  Therefore, state is: 0000
A7 reads 0266.  Therefore, state is: 0000
A6 reads 0256.  Therefore, state is: 0000
A5 reads 0271.  Therefore, state is: 0000
A4 reads 0264.  Therefore, state is: 0000
A3 reads 0265.  Therefore, state is: 0000
A2 reads 0284.  Therefore, state is: 0000
A1 reads 0270.  Therefore, state is: 0000
A0 reads 0288.  Therefore, state is: 0000
State is:    0, value of A0 is:  288
LOOPING
A9 reads 0292.  Therefore, state is: 0000
A8 reads 0291.  Therefore, state is: 0000
A7 reads 0288.  Therefore, state is: 0000
A6 reads 0274.  Therefore, state is: 0000
A5 reads 0281.  Therefore, state is: 0000
A4 reads 0272.  Therefore, state is: 0000
A3 reads 0269.  Therefore, state is: 0000
A2 reads 0275.  Therefore, state is: 0000
A1 reads 0257.  Therefore, state is: 0000
A0 reads 0268.  Therefore, state is: 0000
State is:    0, value of A0 is:  279
LOOPING
A9 reads 0261.  Therefore, state is: 0000
A8 reads 0259.  Therefore, state is: 0000
A7 reads 0258.  Therefore, state is: 0000
A6 reads 0290.  Therefore, state is: 0000
A5 reads 0260.  Therefore, state is: 0000
A4 reads 0255.  Therefore, state is: 0000
A3 reads 0257.  Therefore, state is: 0000
A2 reads 0266.  Therefore, state is: 0000
A1 reads 0262.  Therefore, state is: 0000
A0 reads 0276.  Therefore, state is: 0000
State is:    0, value of A0 is:  270
LOOPING
A9 reads 0250.  Therefore, state is: 0000
A8 reads 0247.  Therefore, state is: 0000
A7 reads 0250.  Therefore, state is: 0000
A6 reads 0240.  Therefore, state is: 0000
A5 reads 0256.  Therefore, state is: 0000
A4 reads 0250.  Therefore, state is: 0000
A3 reads 0252.  Therefore, state is: 0000
A2 reads 0269.  Therefore, state is: 0000
A1 reads 0269.  Therefore, state is: 0000
A0 reads 0280.  Therefore, state is: 0000
State is:    0, value of A0 is:  276
LOOPING
A9 reads 0312.  Therefore, state is: 0000
A8 reads 0311.  Therefore, state is: 0000
A7 reads 0308.  Therefore, state is: 0000
A6 reads 0284.  Therefore, state is: 0000
A5 reads 0303.  Therefore, state is: 0000
A4 reads 0272.  Therefore, state is: 0000
A3 reads 0268.  Therefore, state is: 0000
A2 reads 0311.  Therefore, state is: 0000
A1 reads 0314.  Therefore, state is: 0000
A0 reads 0324.  Therefore, state is: 0000
State is:    0, value of A0 is:  325
LOOPING
A9 reads 0317.  Therefore, state is: 0000
A8 reads 0316.  Therefore, state is: 0000
A7 reads 0315.  Therefore, state is: 0000
A6 reads 0300.  Therefore, state is: 0000
A5 reads 0313.  Therefore, state is: 0000
A4 reads 0297.  Therefore, state is: 0000
A3 reads 0287.  Therefore, state is: 0000
A2 reads 0316.  Therefore, state is: 0000
A1 reads 0322.  Therefore, state is: 0000
A0 reads 0320.  Therefore, state is: 0000
State is:    0, value of A0 is:  329
LOOPING
A9 reads 0269.  Therefore, state is: 0000
A8 reads 0270.  Therefore, state is: 0000
A7 reads 0271.  Therefore, state is: 0000
A6 reads 0278.  Therefore, state is: 0000
A5 reads 0273.  Therefore, state is: 0000
A4 reads 0276.  Therefore, state is: 0000
A3 reads 0272.  Therefore, state is: 0000
A2 reads 0265.  Therefore, state is: 0000
A1 reads 0261.  Therefore, state is: 0000
A0 reads 0254.  Therefore, state is: 0000
State is:    0, value of A0 is:  250
LOOPING
A9 reads 0256.  Therefore, state is: 0000
A8 reads 0249.  Therefore, state is: 0000
A7 reads 0245.  Therefore, state is: 0000
A6 reads 0251.  Therefore, state is: 0000
A5 reads 0239.  Therefore, state is: 0000
A4 reads 0249.  Therefore, state is: 0000
A3 reads 0251.  Therefore, state is: 0000
A2 reads 0224.  Therefore, state is: 0000
A1 reads 0211.  Therefore, state is: 0000
A0 reads 0217.  Therefore, state is: 0000
State is:    0, value of A0 is:  225
LOOPING
A9 reads 0233.  Therefore, state is: 0000
A8 reads 0232.  Therefore, state is: 0000
A7 reads 0232.  Therefore, state is: 0000
A6 reads 0269.  Therefore, state is: 0000
A5 reads 0237.  Therefore, state is: 0000
A4 reads 0245.  Therefore, state is: 0000
A3 reads 0251.  Therefore, state is: 0000
A2 reads 0235.  Therefore, state is: 0000
A1 reads 0225.  Therefore, state is: 0000
A0 reads 0235.  Therefore, state is: 0000
State is:    0, value of A0 is:  230
LOOPING
A9 reads 0239.  Therefore, state is: 0000
A8 reads 0238.  Therefore, state is: 0000
A7 reads 0238.  Therefore, state is: 0000
A6 reads 0223.  Therefore, state is: 0000
A5 reads 0237.  Therefore, state is: 0000
A4 reads 0241.  Therefore, state is: 0000
A3 reads 0246.  Therefore, state is: 0000
A2 reads 0228.  Therefore, state is: 0000
A1 reads 0216.  Therefore, state is: 0000
A0 reads 0220.  Therefore, state is: 0000
State is:    0, value of A0 is:  222
LOOPING
A9 reads 0231.  Therefore, state is: 0000
A8 reads 0225.  Therefore, state is: 0000
A7 reads 0222.  Therefore, state is: 0000
A6 reads 0223.  Therefore, state is: 0000
A5 reads 0216.  Therefore, state is: 0000
A4 reads 0221.  Therefore, state is: 0000
A3 reads 0229.  Therefore, state is: 0000
A2 reads 0211.  Therefore, state is: 0000
A1 reads 0202.  Therefore, state is: 0000
A0 reads 0209.  Therefore, state is: 0000
State is:    0, value of A0 is:  216
LOOPING
A9 reads 0402.  Therefore, state is: 0000
A8 reads 0409.  Therefore, state is: 0000
A7 reads 0413.  Therefore, state is: 0000
A6 reads 0380.  Therefore, state is: 0000
A5 reads 0417.  Therefore, state is: 0000
A4 reads 0355.  Therefore, state is: 0000
A3 reads 0339.  Therefore, state is: 0000
A2 reads 0423.  Therefore, state is: 0000
A1 reads 0449.  Therefore, state is: 0000
A0 reads 0447.  Therefore, state is: 0000
State is:    0, value of A0 is:  443
LOOPING
A9 reads 0428.  Therefore, state is: 0000
A8 reads 0429.  Therefore, state is: 0000
A7 reads 0426.  Therefore, state is: 0000
A6 reads 0369.  Therefore, state is: 0000
A5 reads 0413.  Therefore, state is: 0000
A4 reads 0349.  Therefore, state is: 0000
A3 reads 0327.  Therefore, state is: 0000
A2 reads 0398.  Therefore, state is: 0000
A1 reads 0419.  Therefore, state is: 0000
A0 reads 0411.  Therefore, state is: 0000
State is:    0, value of A0 is:  409
LOOPING
A9 reads 0039.  Therefore, state is: 0000
A8 reads 0030.  Therefore, state is: 0000
A7 reads 0028.  Therefore, state is: 0000
A6 reads 0165.  Therefore, state is: 0000
A5 reads 0036.  Therefore, state is: 0000
A4 reads 0043.  Therefore, state is: 0000
A3 reads 0072.  Therefore, state is: 0000
A2 reads 0080.  Therefore, state is: 0000
A1 reads 0068.  Therefore, state is: 0000
A0 reads 0089.  Therefore, state is: 0000
State is:    0, value of A0 is:   87
LOOPING
A9 reads 0006.  Therefore, state is: 0000
A8 reads 0013.  Therefore, state is: 0000
A7 reads 0000.  Therefore, state is: 0000
A6 reads 0049.  Therefore, state is: 0000
A5 reads 0000.  Therefore, state is: 0000
A4 reads 0094.  Therefore, state is: 0000
A3 reads 0125.  Therefore, state is: 0000
A2 reads 0061.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
State is:    0, value of A0 is:    0
LOOPING
A9 reads 0160.  Therefore, state is: 0000
A8 reads 0142.  Therefore, state is: 0000
A7 reads 0149.  Therefore, state is: 0000
A6 reads 0143.  Therefore, state is: 0000
A5 reads 0135.  Therefore, state is: 0000
A4 reads 0139.  Therefore, state is: 0000
A3 reads 0159.  Therefore, state is: 0000
A2 reads 0151.  Therefore, state is: 0000
A1 reads 0093.  Therefore, state is: 0000
A0 reads 0112.  Therefore, state is: 0000
State is:    0, value of A0 is:  113
LOOPING
A9 reads 0044.  Therefore, state is: 0000
A8 reads 0024.  Therefore, state is: 0000
A7 reads 0041.  Therefore, state is: 0000
A6 reads 0117.  Therefore, state is: 0000
A5 reads 0045.  Therefore, state is: 0000
A4 reads 0081.  Therefore, state is: 0000
A3 reads 0113.  Therefore, state is: 0000
A2 reads 0076.  Therefore, state is: 0000
A1 reads 0018.  Therefore, state is: 0000
A0 reads 0056.  Therefore, state is: 0000
State is:    0, value of A0 is:   49
LOOPING
A9 reads 0037.  Therefore, state is: 0000
A8 reads 0004.  Therefore, state is: 0000
A7 reads 0034.  Therefore, state is: 0000
A6 reads 0066.  Therefore, state is: 0000
A5 reads 0041.  Therefore, state is: 0000
A4 reads 0083.  Therefore, state is: 0000
